technology,dst_region,region,installed,agent,sector,type,year,capacity
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.]; SWHBLRRO01 [SER.WATER.HIGH-CONSUMPTION: .01.LFO.BOILER.STD.PIPE.],UK,UK,2010,Agent2,building,newcapa,2020,4.79480000000
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.]; SWHBLRRW01 [SER.WATER.HIGH-CONSUMPTION: .01.WOD.BOILER.STD.PIPE.],UK,UK,2010,Agent2,building,newcapa,2020,0.61110000000
SWHDPIP00 [SER.WATER.HIGH-CONSUMPTION: .00.PIPE.DELIVERY.]; SWHDPIP01 [SER.WATER.HIGH-CONSUMPTION: .01.PIPE.DELIVERY.],UK,UK,2010,Agent2,building,newcapa,2020,38.64720000000
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,building,newcapa,2020,10.52940000000
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],UK,UK,2015,Agent2,building,newcapa,2020,10.20720000000
SWHDSTD01 [SER.WATER.HIGH-CONSUMPTION: .01.STANDALONE.DELIVERY.],UK,UK,2015,Agent2,building,newcapa,2020,21.03730000000
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.]; SWHWHTRE01 [SER.WATER.HIGH-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,building,newcapa,2020,23.26040000000
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.]; SWLDSTD01 [SER.WATER.LOW-CONSUMPTION: .01.STANDALONE.DELIVERY.],UK,UK,2010,Agent2,building,newcapa,2020,29.50890000000
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.]; SWLDSTD01 [SER.WATER.LOW-CONSUMPTION: .01.STANDALONE.DELIVERY.],UK,UK,2015,Agent2,building,newcapa,2020,7.24650000000
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.]; SWLWHTRE01 [SER.WATER.LOW-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.],UK,UK,2010,Agent2,building,newcapa,2020,28.63050000000
